preferredLabel	CISCO_1	CISCO_2	CISCO_3	CISCO_4
forwarding manager	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
pet and pet food specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
attraction operator	Elementary occupations	Refuse workers and other elementary workers	Other elementary workers	Elementary workers not elsewhere classified
import export specialist in fruit and vegetables	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
licensing officer	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Government licensing officials
occupational driving instructor	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
soap maker	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
community development officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
trolley bus driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Heavy truck and bus drivers	Bus and tram drivers
audiology equipment specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
ordinary seaman	Plant and machine operators and assemblers	Drivers and mobile plant operators	Ships’ deck crews and related workers	Ships’ deck crews and related workers
trade regional manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
glass engraver	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Sign writers, decorative painters, engravers and etchers
social work practice educator	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
plodder operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
automated optical inspection operator	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
metal sawing machine operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
building materials shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
bicycle courier	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Transport and storage labourers	Hand and pedal vehicle drivers
wholesale merchant	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
tourism contract negotiator	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Business services agents not elsewhere classified
import export specialist in hardware, plumbing and heating equipment	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
social work researcher	Professionals	Legal, social and cultural professionals	Social and religious professionals	Sociologists, anthropologists and related professionals
clothing operations manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
fisheries adviser	Professionals	Science and engineering professionals	Life science professionals	Farming, forestry and fisheries advisers
gerontology social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
football coach	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Sports coaches, instructors and officials
kettle tender	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
vehicle maintenance attendant	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Motor vehicle mechanics and repairers
video and motion picture producer	Professionals	Legal, social and cultural professionals	Creative and performing artists	Film, stage and related directors and producers
stock trader	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Securities and finance dealers and brokers
Steiner school teacher	Professionals	Teaching professionals	Primary school and early childhood teachers	Primary school teachers
wood sander	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Wood treaters, cabinet-makers and related trades workers	Woodworking-machine tool setters and operators
abrasive blasting operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal finishing, plating and coating machine operators
fish and seafood shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
business service manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
musical instrument technician	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
air traffic controller	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Air traffic controllers
veterinary medicine lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
cellar operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
model maker	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
hotel porter	Elementary occupations	Refuse workers and other elementary workers	Other elementary workers	Messengers, package deliverers and luggage porters
vehicle rental agent	Service and sales workers	Sales workers	Other sales workers	Sales workers not elsewhere classified
telecommunications manager	Managers	Production and specialised services managers	Information and communications technology service managers	Information and communications technology service managers
heating, ventilation, air conditioning and refrigeration engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
criminal investigator	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Police inspectors and detectives
learning mentor	Professionals	Teaching professionals	Other teaching professionals	Teaching professionals not elsewhere classified
database integrator	Professionals	Information and communications technology professionals	Database and network professionals	Database designers and administrators
import export specialist in beverages	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
music therapist	Professionals	Health professionals	Other health professionals	Health professionals not elsewhere classified
dentistry lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
coffee taster	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Food and beverage tasters and graders
laundry ironer	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Laundry machine operators
airport baggage handler	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Transport and storage labourers	Freight handlers
leather production machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Fur and leather preparing machine operators
research engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
business administration vocational teacher	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
climatologist	Professionals	Science and engineering professionals	Physical and earth science professionals	Meteorologists
bathroom fitter	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Plumbers and pipe fitters
leather goods machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Shoemaking and related machine operators
corporate treasurer	Managers	Administrative and commercial managers	Business services and administration managers	Finance managers
political campaign officer	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
electrical equipment assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Electrical and electronic equipment assemblers
incinerator operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Incinerator and water treatment plant operators
Pilates teacher	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Fitness and recreation instructors and program leaders
ICT technician	Technicians and associate professionals	Information and communications technicians	Information and communications technology operations and user support technicians	Information and communications technology user support technicians
sports coach	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Sports coaches, instructors and officials
stone planer	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Mineral and stone processing plant operators
wholesale merchant in hides, skins and leather products	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
mortgage broker	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Securities and finance dealers and brokers
import export specialist in flowers and plants	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
lottery cashier	Service and sales workers	Sales workers	Cashiers and ticket clerks	Cashiers and ticket clerks
rail project engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Civil engineers
construction safety manager	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
court administrator	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
rolling stock engineering drafter	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Draughtspersons
child day care worker	Service and sales workers	Personal care workers	Child care workers and teachers’ aides	Child care workers
toxicologist	Professionals	Science and engineering professionals	Life science professionals	Biologists, botanists, zoologists and related professionals
