preferredLabel	CISCO_1	CISCO_2	CISCO_3	CISCO_4
transport planner	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Town and traffic planners
hairdressing vocational teacher	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
insurance claims manager	Managers	Production and specialised services managers	Professional services managers	Financial and insurance services branch managers
marine electrician	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Electrical mechanics and fitters
massage therapist	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Physiotherapy technicians and assistants
equality and inclusion manager	Managers	Administrative and commercial managers	Business services and administration managers	Human resource managers
wicker furniture maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Handicraft workers in wood, basketry and related materials
nanoengineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
prompter	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
shipbroker	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
sculptor	Professionals	Legal, social and cultural professionals	Creative and performing artists	Visual artists
department manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
animation layout artist	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
live animal transporter	Plant and machine operators and assemblers	Drivers and mobile plant operators	Heavy truck and bus drivers	Heavy truck and lorry drivers
dairy processing technician	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
biochemistry technician	Technicians and associate professionals	Science and engineering associate professionals	Life science technicians and related associate professionals	Life science technicians (excluding medical)
mining equipment mechanic	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Agricultural and industrial machinery mechanics and repairers
engineering assistant	Clerical support workers	General and keyboard clerks	General office clerks	General office clerks
slitter operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Other stationary plant and machine operators	Stationary plant and machine operators not elsewhere classified
upholsterer	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Upholsterers and related workers
brewmaster	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Chemical engineers
midwife	Professionals	Health professionals	Nursing and midwifery professionals	Midwifery professionals
family social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
footwear assembly supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
import export manager in china and other glassware	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
manufactured wooden building assembler	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Building frame and related trades workers not elsewhere classified
cabin crew manager	Service and sales workers	Personal service workers	Travel attendants, conductors and guides	Travel attendants and travel stewards
wood painter	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Sign writers, decorative painters, engravers and etchers
casino cashier	Clerical support workers	Customer services clerks	Tellers, money collectors and related clerks	Bookmakers, croupiers and related gaming workers
house sitter	Service and sales workers	Personal service workers	Building and housekeeping supervisors	Building caretakers
cake press operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Plastic products machine operators
railway passenger service agent	Service and sales workers	Personal service workers	Travel attendants, conductors and guides	Transport conductors
conceptual artist	Professionals	Legal, social and cultural professionals	Creative and performing artists	Visual artists
quick service restaurant crew member	Elementary occupations	Food preparation assistants	Food preparation assistants	Fast food preparers
collection manager	Professionals	Legal, social and cultural professionals	Librarians, archivists and curators	Archivists and curators
machinery, industrial equipment, ships and aircraft distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
aircraft assembly supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
user interface designer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Web and multimedia developers
sporting and outdoor accessories shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
language school teacher	Professionals	Teaching professionals	Other teaching professionals	Other language teachers
data centre operator	Technicians and associate professionals	Information and communications technicians	Information and communications technology operations and user support technicians	Information and communications technology operations technicians
import export manager in textile industry machinery	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
wastewater engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Civil engineers
meat and meat products specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
bookshop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
lawyer	Professionals	Legal, social and cultural professionals	Legal professionals	Lawyers
distillery worker	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
anthropology lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
chipper operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Wood processing plant operators
health psychologist	Professionals	Legal, social and cultural professionals	Social and religious professionals	Psychologists
special educational needs teacher	Professionals	Teaching professionals	Other teaching professionals	Special needs teachers
patient transport services driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Car, van and motorcycle drivers	Car, taxi and van drivers
production potter	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Potters and related workers
tailor	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Tailors, dressmakers, furriers and hatters
gas service technician	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Plumbers and pipe fitters
leather production planner	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Industrial and production engineers
spot welder	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Welders and flamecutters
piano maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
clothing shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
router operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
activism officer	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
medical records manager	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Medical records and health information technicians
thanatology researcher	Professionals	Legal, social and cultural professionals	Social and religious professionals	Sociologists, anthropologists and related professionals
beer sommelier	Service and sales workers	Personal service workers	Waiters and bartenders	Waiters
wind turbine technician	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Electrical mechanics and fitters
import export specialist in pharmaceutical goods	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
rail operations manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
interior landscaper	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Market gardeners and crop growers	Gardeners, horticultural and nursery growers
military welfare worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
system configurator	Professionals	Information and communications technology professionals	Database and network professionals	Systems administrators
tyre fitter	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Motor vehicle mechanics and repairers
after-sales service technician	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Technical and medical sales professionals (excluding ICT)
agricultural policy officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
press and stationery shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
wholesale merchant in machine tools	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
food science lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
block machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Cement, stone and other mineral products machine operators
asbestos abatement worker	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Building structure cleaners
economist	Professionals	Legal, social and cultural professionals	Social and religious professionals	Economists
precision engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mechanical engineers
airport operations officer	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Air traffic controllers
glass annealer	Plant and machine operators and assemblers	Stationary plant and machine operators	Other stationary plant and machine operators	Glass and ceramics plant operators
quality engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
script supervisor	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
import export specialist in furniture, carpets and lighting equipment	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
veterinary technician	Technicians and associate professionals	Health associate professionals	Veterinary technicians and assistants	Veterinary technicians and assistants
waste management officer	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
sign language interpreter	Professionals	Legal, social and cultural professionals	Authors, journalists and linguists	Translators, interpreters and other linguists
special educational needs coordinator	Professionals	Teaching professionals	Other teaching professionals	Education methods specialists
insurance clerk	Clerical support workers	Numerical and material recording clerks	Numerical clerks	Statistical, finance and insurance clerks
aircraft pilot	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Aircraft pilots and related associate professionals
business and marketing vocational teacher	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
university literature lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
motor vehicle assembly inspector	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
railway sales agent	Clerical support workers	Customer services clerks	Client information workers	Travel consultants and clerks
criminal justice social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
electrical engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Electrical engineering technicians
vending machine operator	Elementary occupations	Refuse workers and other elementary workers	Other elementary workers	Meter readers and vending-machine collectors
file clerk	Clerical support workers	Other clerical support workers	Other clerical support workers	Filing and copying clerks
diet cook	Service and sales workers	Personal service workers	Cooks	Cooks
lighting technician	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
fat-purification worker	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
dairy processing operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
fashion model	Service and sales workers	Sales workers	Other sales workers	Fashion and other models
geographic information systems specialist	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Cartographers and surveyors
tourist information officer	Clerical support workers	Customer services clerks	Client information workers	Travel consultants and clerks
set buyer	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Buyers
education inspector	Professionals	Teaching professionals	Other teaching professionals	Education methods specialists
specialised doctor	Professionals	Health professionals	Medical doctors	Specialist medical practitioners
sales assistant	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
textile shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
army captain	Managers	Chief executives, senior officials and legislators	Commissioned armed forces officers	Commissioned armed forces officers
marine firefighter	Service and sales workers	Protective services workers	Protective services workers	Fire-fighters
disability support worker	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Social work associate professionals
brush maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Handicraft workers in wood, basketry and related materials
security alarm investigator	Service and sales workers	Protective services workers	Protective services workers	Security guards
customer experience manager	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Advertising and marketing professionals
marriage counsellor	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
mine surveying technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mining and metallurgical technicians
chief conductor	Service and sales workers	Personal service workers	Travel attendants, conductors and guides	Transport conductors
contact centre supervisor	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Office supervisors
ICT research manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Research and development managers
ship assistant engineer	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Ships’ engineers
sewerage systems manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
demolition supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
design and applied arts vocational teacher	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
economic development coordinator	Professionals	Legal, social and cultural professionals	Social and religious professionals	Economists
public affairs consultant	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
ICT system administrator	Professionals	Information and communications technology professionals	Database and network professionals	Systems administrators
central bank governor	Managers	Chief executives, senior officials and legislators	Legislators and senior officials	Senior government officials
aerodynamics engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mechanical engineers
ICT trainer	Professionals	Teaching professionals	Other teaching professionals	Information technology trainers
shop manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
digital games developer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Web and multimedia developers
artisan papermaker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Handicraft workers in wood, basketry and related materials
resource manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
product manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Research and development managers
leaf tier	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Tobacco preparers and tobacco products makers
import export manager in beverages	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
waste and scrap distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
stone splitter	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Cement, stone and other mineral products machine operators
energy manager	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
pizzaiolo	Elementary occupations	Food preparation assistants	Food preparation assistants	Fast food preparers
financial fraud examiner	Professionals	Business and administration professionals	Finance professionals	Accountants
chief fire officer	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
wholesale merchant in electrical household appliances	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
environmental health inspector	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Environmental and occupational health inspectors and associates
pyrotechnic designer	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
extrusion machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal processing plant operators
audio and video equipment specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
physical education teacher secondary school	Professionals	Teaching professionals	Secondary education teachers	Secondary education teachers
garden labourer	Elementary occupations	Agricultural, forestry and fishery labourers	Agricultural, forestry and fishery labourers	Garden and horticultural labourers
health and safety engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
leather goods designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
corporate training manager	Professionals	Business and administration professionals	Administration professionals	Training and staff development professionals
insurance broker	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Insurance representatives
catcher	Elementary occupations	Agricultural, forestry and fishery labourers	Agricultural, forestry and fishery labourers	Livestock farm labourers
specialised outdoor animator	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Fitness and recreation instructors and program leaders
sign maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Sign writers, decorative painters, engravers and etchers
restaurant host/restaurant hostess	Service and sales workers	Personal service workers	Waiters and bartenders	Waiters
labour market policy officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
milling machine operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
wholesale merchant in textiles and textile semi-finished and raw materials	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
survey enumerator	Clerical support workers	Customer services clerks	Client information workers	Survey and market research interviewers
fortune teller	Service and sales workers	Personal service workers	Other personal services workers	Astrologers, fortune-tellers and related workers
rental service representative in trucks	Service and sales workers	Sales workers	Other sales workers	Sales workers not elsewhere classified
aesthetician	Service and sales workers	Personal service workers	Hairdressers, beauticians and related workers	Beauticians and related workers
head sommelier	Service and sales workers	Personal service workers	Waiters and bartenders	Waiters
chemical processing plant controller	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Chemical processing plant controllers
embassy counsellor	Managers	Chief executives, senior officials and legislators	Legislators and senior officials	Senior government officials
private chef	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Chefs
weaving textile technician	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Weaving and knitting machine operators
ICT quality assurance manager	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software and applications developers and analysts not elsewhere classified
master coffee roaster	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Food and beverage tasters and graders
paperhanger	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Painters and related workers
insurance fraud investigator	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Valuers and loss assessors
leather finishing operations manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
chimney sweep	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Building structure cleaners
train dispatcher	Plant and machine operators and assemblers	Drivers and mobile plant operators	Locomotive engine drivers and related workers	Railway brake, signal and switch operators
intermodal logistics manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
hospital porter	Service and sales workers	Personal care workers	Personal care workers in health services	Personal care workers in health services not elsewhere classified
advanced physiotherapist	Professionals	Health professionals	Other health professionals	Physiotherapists
aquaculture recirculation manager	Professionals	Science and engineering professionals	Life science professionals	Farming, forestry and fisheries advisers
history lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
drainage engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Civil engineers
customs and excise officer	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
industrial waste inspector	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Environmental and occupational health inspectors and associates
landscape designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Landscape architects
aircraft de-icer installer	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Aircraft engine mechanics and repairers
ICT security technician	Technicians and associate professionals	Information and communications technicians	Information and communications technology operations and user support technicians	Information and communications technology user support technicians
vessel assembly inspector	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
journalist	Professionals	Legal, social and cultural professionals	Authors, journalists and linguists	Journalists
drafter	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Draughtspersons
wholesale merchant in office furniture	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
groundsman/groundswoman	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Market gardeners and crop growers	Gardeners, horticultural and nursery growers
game keeper	Service and sales workers	Personal service workers	Other personal services workers	Pet groomers and animal care workers
household goods distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
optical disc moulding machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Plastic products machine operators
rigging supervisor	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Riggers and cable splicers
chaplain	Professionals	Legal, social and cultural professionals	Social and religious professionals	Religious professionals
wood caulker	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Manufacturing labourers	Manufacturing labourers not elsewhere classified
moving truck driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Heavy truck and bus drivers	Heavy truck and lorry drivers
terrazzo setter	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Concrete placers, concrete finishers and related workers
heat treatment furnace operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
metal planer operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
rental service representative in recreational and sports goods	Service and sales workers	Sales workers	Other sales workers	Sales workers not elsewhere classified
specialist dentist	Professionals	Health professionals	Other health professionals	Dentists
aquaculture husbandry manager	Managers	Production and specialised services managers	Production managers in agriculture, forestry and fisheries	Aquaculture and fisheries production managers
video technician	Technicians and associate professionals	Information and communications technicians	Telecommunications and broadcasting technicians	Broadcasting and audiovisual technicians
wholesale merchant in hardware, plumbing and heating equipment and supplies	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
agricultural equipment design engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mechanical engineers
structural ironwork supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
building exterior cleaner	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Building structure cleaners
museum scientist	Professionals	Legal, social and cultural professionals	Librarians, archivists and curators	Archivists and curators
leather goods manufacturing technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
e-learning architect	Professionals	Teaching professionals	Other teaching professionals	Teaching professionals not elsewhere classified
performance artist	Professionals	Legal, social and cultural professionals	Creative and performing artists	Creative and performing artists not elsewhere classified
footwear production supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
straightening machine operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
ICT system analyst	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
hop farmer	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Market gardeners and crop growers	Tree and shrub crop growers
import export manager in furniture, carpets and lighting equipment	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
osteopath	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Health associate professionals not elsewhere classified
environmental expert	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Environmental engineers
web content manager	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Web and multimedia developers
sales manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Sales and marketing managers
mental health social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
wood pallet maker	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Wood treaters, cabinet-makers and related trades workers	Woodworking-machine tool setters and operators
transport equipment painter	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Spray painters and varnishers
taxidermist	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Gallery, museum and library technicians
ICT product manager	Managers	Production and specialised services managers	Information and communications technology service managers	Information and communications technology service managers
retail department manager	Managers	Hospitality, retail and other services managers	Retail and wholesale trade managers	Retail and wholesale trade managers
youth programme director	Managers	Production and specialised services managers	Professional services managers	Social welfare managers
microbiologist	Professionals	Science and engineering professionals	Life science professionals	Biologists, botanists, zoologists and related professionals
photographic equipment assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Electrical and electronic equipment assemblers
ICT system developer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
food production manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
court administrative officer	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Legal and related associate professionals
aquaculture hatchery worker	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Aquaculture workers
chemical tester	Professionals	Science and engineering professionals	Physical and earth science professionals	Chemists
consul	Managers	Chief executives, senior officials and legislators	Legislators and senior officials	Senior government officials
concrete finisher	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Concrete placers, concrete finishers and related workers
geophysicist	Professionals	Science and engineering professionals	Physical and earth science professionals	Geologists and geophysicists
conveyance clerk	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Legal and related associate professionals
band saw operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Wood processing plant operators
compliance engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
screen printer	Craft and related trades workers	Handicraft and printing workers	Printing trades workers	Printers
ICT resilience manager	Professionals	Information and communications technology professionals	Database and network professionals	Database and network professionals not elsewhere classified
migrant social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
industrial maintenance supervisor	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
physics technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Chemical and physical science technicians
instructional designer	Professionals	Teaching professionals	Other teaching professionals	Teaching professionals not elsewhere classified
linguist	Professionals	Legal, social and cultural professionals	Authors, journalists and linguists	Translators, interpreters and other linguists
therapeutic radiographer	Professionals	Health professionals	Other health professionals	Health professionals not elsewhere classified
water-based aquaculture worker	Elementary occupations	Agricultural, forestry and fishery labourers	Agricultural, forestry and fishery labourers	Fishery and aquaculture labourers
drill press operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
recording studio technician	Technicians and associate professionals	Information and communications technicians	Telecommunications and broadcasting technicians	Broadcasting and audiovisual technicians
import export specialist in clothing and footwear	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
medical goods specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
locksmith	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Toolmakers and related workers
publications coordinator	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
cemetery attendant	Service and sales workers	Personal service workers	Other personal services workers	Undertakers and embalmers
steam turbine operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Power production plant operators
supply chain manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
transport engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Civil engineers
wholesale merchant in mining, construction and civil engineering machinery	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
ICT help desk agent	Technicians and associate professionals	Information and communications technicians	Information and communications technology operations and user support technicians	Information and communications technology user support technicians
passport officer	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Government licensing officials
knitting machine supervisor	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Weaving and knitting machine operators
